id,key,value,type
474889539,Bearing,SE,naptan
474889539,CommonName,Coggeshall Way,naptan
474889539,Crossing,Coggeshall Way,naptan
474889539,Indicator,Adj,naptan
474889539,Landmark,Coggeshall Way,naptan
474889539,NaptanCode,esxgdjpj,naptan
474889539,Street,Colne Road,naptan
474889539,verified,no,naptan
474889539,source,naptan_import,regular
474889541,highway,bus_stop,regular
474889541,name,Fenn Road,regular
474889541,AtcoCode,150027007023,naptan
474889541,Bearing,S,naptan
474889541,CommonName,Fenn Road,naptan
474889541,Crossing,Colchester Road,naptan
474889541,Indicator,S-bound,naptan
474889541,Landmark,Fenn Road,naptan
474889541,NaptanCode,esxgdjpm,naptan
474889541,Street,Fenn Road,naptan
474889541,verified,no,naptan
474889541,source,naptan_import,regular
474889542,name,Temperance Yard,regular
474889542,AtcoCode,1500270070Y3,naptan
474889542,Bearing,E,naptan
474889542,BusStopType,CUS,naptan
474889542,CommonName,Temperance Yard,naptan
474889542,Indicator,Opp,naptan
474889542,Landmark,Temperance Yard,naptan
474889542,NaptanCode,esxgpmjt,naptan
474889542,Street,High Street,naptan
474889542,verified,no,naptan
474889542,source,naptan_import,regular
474889543,highway,bus_stop,regular
474889543,name,Oak Road,regular
474889543,AtcoCode,150027008005,naptan
474889543,Bearing,N,naptan
474889543,CommonName,Oak Road,naptan
474889543,Crossing,Maplestead Road,naptan
474889543,Indicator,N-bound,naptan
474889543,Landmark,Oak Road,naptan
474889543,NaptanCode,esxdjpmg,naptan
474889543,Street,Oak Road,naptan
474889543,verified,no,naptan
474889543,source,naptan_import,regular
474889545,name,Station Road,regular
474889545,AtcoCode,150027008013,naptan
474889545,Bearing,NE,naptan
474889545,BusStopType,CUS,naptan
474889545,CommonName,Station Road,naptan
474889545,Crossing,Oddcroft,naptan
474889545,Indicator,NE-bound,naptan
474889545,Landmark,Station Road,naptan
474889545,NaptanCode,esxdjtam,naptan
474889545,Street,Station Road,naptan
474889545,verified,no,naptan
474889545,source,naptan_import,regular
474889546,name,De Vere Road,regular
474889546,AtcoCode,150027008014,naptan
474889546,Bearing,SE,naptan
474889546,BusStopType,CUS,naptan
474889546,CommonName,De Vere Road,naptan
474889546,Crossing,De Vere Road,naptan
474889546,Indicator,Opp,naptan
474889546,Landmark,De Vere Road,naptan
474889546,NaptanCode,esxdjtap,naptan
474889546,Street,Station Road,naptan
474889546,verified,no,naptan
474889546,source,naptan_import,regular
474889547,name,Atlas Road,regular
474889547,AtcoCode,150027008015,naptan
474889547,Bearing,SE,naptan
474889547,BusStopType,CUS,naptan
474889547,CommonName,Atlas Road,naptan
474889547,Crossing,Atlas Road,naptan
474889547,Indicator,Opp,naptan
474889547,Landmark,Atlas Road,naptan
474889547,NaptanCode,esxdjtat,naptan
474889547,Street,Station Road,naptan
474889547,verified,no,naptan
474889547,source,naptan_import,regular
